,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,November,30,2012,Plant W,2C,1152,00092860,00009995," 639,948 "
2013,02,November,30,2012,Plant W,2D,1152,00092860,00009995," 638,783 "
2013,02,December,01,2012,Plant A,2C,1140,00047148,00007129," 426,638 "
2013,02,December,01,2012,Plant A,3E,1112,00057720,00007129," 430,429 "
2013,02,December,01,2012,Plant N,3B,1116,00236317,00007129," 427,707 "
2013,02,December,01,2012,Plant N,3J,1110,00045180,00007129," 429,845 "
2013,02,December,02,2012,Plant A,3F,1160,00118728,00007129," 427,318 "
2013,02,December,02,2012,Plant N,3D,1110,00045180,00007129," 422,944 "
2013,02,December,02,2012,Plant T,1C,1149,00013499,00009995," 628,146 "
2013,02,December,02,2012,Plant W,2F,1116,00092982,00009995," 633,683 "
2013,02,December,03,2012,Plant W,4A,1116,00102162,00010270," 841,121 "
2013,02,December,04,2012,Plant C,21,1126,00096204,00007119," 387,837 "
2013,02,December,04,2012,Plant R,1D,1124,00086301,00009995," 638,783 "
